,ID State,State,ID Year,Year,Population,Slug State,Region
0,04000US01,Alabama,2020,2020,4893186,alabama,South
1,04000US02,Alaska,2020,2020,736990,alaska,West
2,04000US04,Arizona,2020,2020,7174064,arizona,Southwest
3,04000US05,Arkansas,2020,2020,3011873,arkansas,South
4,04000US06,California,2020,2020,39346023,california,West
5,04000US08,Colorado,2020,2020,5684926,colorado,West
6,04000US09,Connecticut,2020,2020,3570549,connecticut,NewEngland
7,04000US10,Delaware,2020,2020,967679,delaware,MiddleAtlantic
8,04000US11,District of Columbia,2020,2020,701974,district-of-columbia,Other
9,04000US12,Florida,2020,2020,21216924,florida,South
10,04000US13,Georgia,2020,2020,10516579,georgia,South
11,04000US15,Hawaii,2020,2020,1420074,hawaii,West
12,04000US16,Idaho,2020,2020,1754367,idaho,West
13,04000US17,Illinois,2020,2020,12716164,illinois,Midwest
14,04000US18,Indiana,2020,2020,6696893,indiana,Midwest
15,04000US19,Iowa,2020,2020,3150011,iowa,Midwest
16,04000US20,Kansas,2020,2020,2912619,kansas,Midwest
17,04000US21,Kentucky,2020,2020,4461952,kentucky,South
18,04000US22,Louisiana,2020,2020,4664616,louisiana,South
19,04000US23,Maine,2020,2020,1340825,maine,NewEngland
20,04000US24,Maryland,2020,2020,6037624,maryland,MiddleAtlantic
21,04000US25,Massachusetts,2020,2020,6873003,massachusetts,NewEngland
22,04000US26,Michigan,2020,2020,9973907,michigan,Midwest
23,04000US27,Minnesota,2020,2020,5600166,minnesota,Midwest
24,04000US28,Mississippi,2020,2020,2981835,mississippi,South
25,04000US29,Missouri,2020,2020,6124160,missouri,South
26,04000US30,Montana,2020,2020,1061705,montana,West
27,04000US31,Nebraska,2020,2020,1923826,nebraska,Midwest
28,04000US32,Nevada,2020,2020,3030281,nevada,West
29,04000US33,New Hampshire,2020,2020,1355244,new-hampshire,NewEngland
30,04000US34,New Jersey,2020,2020,8885418,new-jersey,MiddleAtlantic
31,04000US35,New Mexico,2020,2020,2097021,new-mexico,Southwest
32,04000US36,New York,2020,2020,19514849,new-york,MiddleAtlantic
33,04000US37,North Carolina,2020,2020,10386227,north-carolina,South
34,04000US38,North Dakota,2020,2020,760394,north-dakota,Midwest
35,04000US39,Ohio,2020,2020,11675275,ohio,Midwest
36,04000US40,Oklahoma,2020,2020,3949342,oklahoma,Southwest
37,04000US41,Oregon,2020,2020,4176346,oregon,West
38,04000US42,Pennsylvania,2020,2020,12794885,pennsylvania,MiddleAtlantic
39,04000US44,Rhode Island,2020,2020,1057798,rhode-island,NewEngland
40,04000US45,South Carolina,2020,2020,5091517,south-carolina,South
41,04000US46,South Dakota,2020,2020,879336,south-dakota,Midwest
42,04000US47,Tennessee,2020,2020,6772268,tennessee,South
43,04000US48,Texas,2020,2020,28635442,texas,Southwest
44,04000US49,Utah,2020,2020,3151239,utah,West
45,04000US50,Vermont,2020,2020,624340,vermont,NewEngland
46,04000US51,Virginia,2020,2020,8509358,virginia,South
47,04000US53,Washington,2020,2020,7512465,washington,West
48,04000US54,West Virginia,2020,2020,1807426,west-virginia,South
49,04000US55,Wisconsin,2020,2020,5806975,wisconsin,Midwest
50,04000US56,Wyoming,2020,2020,581348,wyoming,West
51,04000US72,Puerto Rico,2020,2020,3255642,puerto-rico,Other
52,04000US01,Alabama,2019,2019,4876250,alabama,South
53,04000US02,Alaska,2019,2019,737068,alaska,West
54,04000US04,Arizona,2019,2019,7050299,arizona,Southwest
55,04000US05,Arkansas,2019,2019,2999370,arkansas,South
56,04000US06,California,2019,2019,39283497,california,West
57,04000US08,Colorado,2019,2019,5610349,colorado,West
58,04000US09,Connecticut,2019,2019,3575074,connecticut,NewEngland
59,04000US10,Delaware,2019,2019,957248,delaware,MiddleAtlantic
60,04000US11,District of Columbia,2019,2019,692683,district-of-columbia,Other
61,04000US12,Florida,2019,2019,20901636,florida,South
62,04000US13,Georgia,2019,2019,10403847,georgia,South
63,04000US15,Hawaii,2019,2019,1422094,hawaii,West
64,04000US16,Idaho,2019,2019,1717750,idaho,West
65,04000US17,Illinois,2019,2019,12770631,illinois,Midwest
66,04000US18,Indiana,2019,2019,6665703,indiana,Midwest
67,04000US19,Iowa,2019,2019,3139508,iowa,Midwest
68,04000US20,Kansas,2019,2019,2910652,kansas,Midwest
69,04000US21,Kentucky,2019,2019,4449052,kentucky,South
70,04000US22,Louisiana,2019,2019,4664362,louisiana,South
71,04000US23,Maine,2019,2019,1335492,maine,NewEngland
72,04000US24,Maryland,2019,2019,6018848,maryland,MiddleAtlantic
73,04000US25,Massachusetts,2019,2019,6850553,massachusetts,NewEngland
74,04000US26,Michigan,2019,2019,9965265,michigan,Midwest
75,04000US27,Minnesota,2019,2019,5563378,minnesota,Midwest
76,04000US28,Mississippi,2019,2019,2984418,mississippi,South
77,04000US29,Missouri,2019,2019,6104910,missouri,South
78,04000US30,Montana,2019,2019,1050649,montana,West
79,04000US31,Nebraska,2019,2019,1914571,nebraska,Midwest
80,04000US32,Nevada,2019,2019,2972382,nevada,West
81,04000US33,New Hampshire,2019,2019,1348124,new-hampshire,NewEngland
82,04000US34,New Jersey,2019,2019,8878503,new-jersey,MiddleAtlantic
83,04000US35,New Mexico,2019,2019,2092454,new-mexico,Southwest
84,04000US36,New York,2019,2019,19572319,new-york,MiddleAtlantic
85,04000US37,North Carolina,2019,2019,10264876,north-carolina,South
86,04000US38,North Dakota,2019,2019,756717,north-dakota,Midwest
87,04000US39,Ohio,2019,2019,11655397,ohio,Midwest
88,04000US40,Oklahoma,2019,2019,3932870,oklahoma,Southwest
89,04000US41,Oregon,2019,2019,4129803,oregon,West
90,04000US42,Pennsylvania,2019,2019,12791530,pennsylvania,MiddleAtlantic
91,04000US44,Rhode Island,2019,2019,1057231,rhode-island,NewEngland
92,04000US45,South Carolina,2019,2019,5020806,south-carolina,South
93,04000US46,South Dakota,2019,2019,870638,south-dakota,Midwest
94,04000US47,Tennessee,2019,2019,6709356,tennessee,South
95,04000US48,Texas,2019,2019,28260856,texas,Southwest
96,04000US49,Utah,2019,2019,3096848,utah,West
97,04000US50,Vermont,2019,2019,624313,vermont,NewEngland
98,04000US51,Virginia,2019,2019,8454463,virginia,South
99,04000US53,Washington,2019,2019,7404107,washington,West
100,04000US54,West Virginia,2019,2019,1817305,west-virginia,South
101,04000US55,Wisconsin,2019,2019,5790716,wisconsin,Midwest
102,04000US56,Wyoming,2019,2019,581024,wyoming,West
103,04000US72,Puerto Rico,2019,2019,3318447,puerto-rico,Other
104,04000US01,Alabama,2018,2018,4864680,alabama,South
105,04000US02,Alaska,2018,2018,738516,alaska,West
106,04000US04,Arizona,2018,2018,6946685,arizona,Southwest
107,04000US05,Arkansas,2018,2018,2990671,arkansas,South
108,04000US06,California,2018,2018,39148760,california,West
109,04000US08,Colorado,2018,2018,5531141,colorado,West
110,04000US09,Connecticut,2018,2018,3581504,connecticut,NewEngland
111,04000US10,Delaware,2018,2018,949495,delaware,MiddleAtlantic
112,04000US11,District of Columbia,2018,2018,684498,district-of-columbia,Other
113,04000US12,Florida,2018,2018,20598139,florida,South
114,04000US13,Georgia,2018,2018,10297484,georgia,South
115,04000US15,Hawaii,2018,2018,1422029,hawaii,West
116,04000US16,Idaho,2018,2018,1687809,idaho,West
117,04000US17,Illinois,2018,2018,12821497,illinois,Midwest
118,04000US18,Indiana,2018,2018,6637426,indiana,Midwest
119,04000US19,Iowa,2018,2018,3132499,iowa,Midwest
120,04000US20,Kansas,2018,2018,2908776,kansas,Midwest
121,04000US21,Kentucky,2018,2018,4440204,kentucky,South
122,04000US22,Louisiana,2018,2018,4663616,louisiana,South
123,04000US23,Maine,2018,2018,1332813,maine,NewEngland
